#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
1036127	3320	2908	109552	109165	-	-	HSP90AA1	NR3C1	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-Western	physical	Mollapour M (2014)	PUBMED:24462205	9606	9606	Low Throughput	-	-	Hsp90 is human, but the other protein is from COS7 cells.	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1036332	91875	2908	124889	109165	-	-	TTC5	NR3C1	Strap	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-Western	physical	Davies L (2011)	PUBMED:21147850	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8N0Z6	Q86T04	NP_612385	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1036333	2908	91875	109165	124889	-	-	NR3C1	TTC5	GCCR|GCR|GCRST|GR|GRL	Strap	Affinity Capture-Western	physical	Davies L (2011)	PUBMED:21147850	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	Q8N0Z6	Q86T04	NP_612385	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1054450	2033	2908	108347	109165	RP1-85F18.1	-	EP300	NR3C1	KAT3B|RSTS2|p300	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-Western	physical	Wang W (2012)	PUBMED:23125313	9606	9606	Low Throughput	-	-	Figure 6	-	BIOGRID	Q09472	Q7Z6C1	NP_001349772|NP_001420	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1054766	2908	155807	109165	1205540	-	HIV1gp4	NR3C1	vpr	GCCR|GCR|GCRST|GR|GRL	-	Reconstituted Complex	physical	Kino T (2002)	PUBMED:12208951	9606	11676	Low Throughput	-	-	Figure 3	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	NP_057852	-	-	-	-	-	-	Homo sapiens	Human Immunodeficiency Virus 1
1054768	2908	155807	109165	1205540	-	HIV1gp4	NR3C1	vpr	GCCR|GCR|GCRST|GR|GRL	-	Affinity Capture-Western	physical	Kino T (2002)	PUBMED:12208951	9606	11676	Low Throughput	-	-	Figure 4	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	NP_057852	-	-	-	-	-	-	Homo sapiens	Human Immunodeficiency Virus 1
1054769	2033	2908	108347	109165	RP1-85F18.1	-	EP300	NR3C1	KAT3B|RSTS2|p300	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-Western	physical	Kino T (2002)	PUBMED:12208951	9606	9606	Low Throughput	-	-	Figure 4	-	BIOGRID	Q09472	Q7Z6C1	NP_001349772|NP_001420	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1060690	10273	2908	115563	109165	LA16c-313D11.6	-	STUB1	NR3C1	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	GCCR|GCR|GCRST|GR|GRL	Biochemical Activity	physical	Connell P (2001)	PUBMED:11146632	9606	9606	Low Throughput	-	Ubiquitination	E2: from lysates|in vitro assay	-	BIOGRID	Q9UNE7	-	NP_005852|NP_001280126	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1067424	1956	2908	108276	109165	-	-	EGFR	NR3C1	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	GCCR|GCR|GCRST|GR|GRL	Two-hybrid	physical	Kotlyar M (2015)	PUBMED:25402006	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P00533	-	NP_001333829|NP_001333828|NP_958440|NP_005219|NP_001333827|NP_001333826|NP_958441|NP_001333870|NP_958439	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1100959	7329	2908	113177	109165	LA16c-358B7.1	-	UBE2I	NR3C1	C358B7.1|P18|UBC9	GCCR|GCR|GCRST|GR|GRL	Biochemical Activity	physical	Ogawa H (2009)	PUBMED:19692572	9606	9606	Low Throughput	-	Sumoylation	Figure 3	-	BIOGRID	P63279	B0QYN7|A8K503	NP_003336|NP_919236|NP_919237|NP_919235	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1101154	1616	2908	107985	109165	DADB-159G18.9	-	DAXX	NR3C1	BING2|DAP6|EAP1	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-Western	physical	Lin DY (2006)	PUBMED:17081986	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UER7	Q53F85|A0A024RCS3|B4E1C1	NP_001135441|NP_001341|NP_001241646|NP_001135442	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1101155	1616	2908	107985	109165	DADB-159G18.9	-	DAXX	NR3C1	BING2|DAP6|EAP1	GCCR|GCR|GCRST|GR|GRL	Reconstituted Complex	physical	Lin DY (2006)	PUBMED:17081986	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UER7	Q53F85|A0A024RCS3|B4E1C1	NP_001135441|NP_001341|NP_001241646|NP_001135442	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1101156	1616	2908	107985	109165	DADB-159G18.9	-	DAXX	NR3C1	BING2|DAP6|EAP1	GCCR|GCR|GCRST|GR|GRL	Two-hybrid	physical	Lin DY (2006)	PUBMED:17081986	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UER7	Q53F85|A0A024RCS3|B4E1C1	NP_001135441|NP_001341|NP_001241646|NP_001135442	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1101164	1616	2908	107985	109165	DADB-159G18.9	-	DAXX	NR3C1	BING2|DAP6|EAP1	GCCR|GCR|GCRST|GR|GRL	Co-localization	physical	Lin DY (2006)	PUBMED:17081986	9606	9606	Low Throughput	-	-	ChIP	-	BIOGRID	Q9UER7	Q53F85|A0A024RCS3|B4E1C1	NP_001135441|NP_001341|NP_001241646|NP_001135442	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1107894	6449	2908	112347	109165	-	-	SGTA	NR3C1	SGT|alphaSGT|hSGT	GCCR|GCR|GCRST|GR|GRL	Two-hybrid	physical	Paul A (2014)	PUBMED:24753260	9606	9606	Low Throughput	-	-	Figure 4	-	BIOGRID	O43765	-	NP_003012	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1237982	2908	1387	109165	107777	-	-	NR3C1	CREBBP	GCCR|GCR|GCRST|GR|GRL	CBP|KAT3A|RSTS	Affinity Capture-Western	physical	Carruthers CW (2015)	PUBMED:25511704	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	Q92793	-	NP_001073315|NP_004371	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1277680	2908	3065	109165	109315	-	RP4-811H24.2	NR3C1	HDAC1	GCCR|GCR|GCRST|GR|GRL	GON-10|HD1|RPD3|RPD3L1	FRET	physical	Qiu Y (2011)	PUBMED:21127047	9606	9606	Low Throughput	-	-	figure 4	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	Q13547	Q6IT96	NP_004955	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1278087	2908	8648	109165	114200	-	-	NR3C1	NCOA1	GCCR|GCR|GCRST|GR|GRL	F-SRC-1|KAT13A|RIP160|SRC1|bHLHe42|bHLHe74	Affinity Capture-Western	physical	Li G (2006)	PUBMED:16423881	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	Q15788	-	NP_001349879|NP_003734|NP_001349884|NP_671766|NP_671756|NP_001349881|NP_001349883	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1278277	3416	2908	109642	109165	RP11-366I13.1	-	IDE	NR3C1	INSULYSIN	GCCR|GCR|GCRST|GR|GRL	Reconstituted Complex	physical	Kupfer SR (1994)	PUBMED:8051160	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P14735	-	NP_001159418|NP_004960|NP_001309725|NP_001309724|NP_001309726|NP_001309723|NP_001309722	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1415267	10980	2908	116176	109165	-	-	COPS6	NR3C1	CSN6|MOV34-34KD	GCCR|GCR|GCRST|GR|GRL	Reconstituted Complex	physical	Ramanathan MP (2002)	PUBMED:12237292	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q7L5N1	-	NP_006824	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1431736	11116	2908	116291	109165	-	-	FGFR1OP	NR3C1	FOP	GCCR|GCR|GCRST|GR|GRL	Proximity Label-MS	physical	Gupta GD (2015)	PUBMED:26638075	9606	9606	High Throughput	-	-	BioID	-	BIOGRID	O95684	B4DH64|A0A087WV25	NP_001265619|NP_008976|NP_919410	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1433816	6993	2908	112853	109165	RP11-114M11.1	-	DYNLT1	NR3C1	CW-1|TCTEL1|tctex-1	GCCR|GCR|GCRST|GR|GRL	Proximity Label-MS	physical	Gupta GD (2015)	PUBMED:26638075	9606	9606	High Throughput	-	-	BioID	-	BIOGRID	P63172	-	NP_006510|NP_001278532|NP_001278531	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1444691	54443	2908	119959	109165	-	-	ANLN	NR3C1	FSGS8|Scraps|scra	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q9NQW6	A0A024RA49	NP_001271231|NP_001271230|NP_061155	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1444692	64781	2908	122291	109165	RP6-59H18.1	-	CERK	NR3C1	LK4|dA59H18.2|dA59H18.3|hCERK	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q8TCT0	A0A024R4U8	NP_073603	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1444693	154141	2908	127537	109165	RP1-130G2.2	-	MBOAT1	NR3C1	1|LPEAT1|LPLAT|LPLAT 1|LPSAT|OACT1|dJ434O11.1	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q6ZNC8	-	NP_001073949	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1459971	71924	2908	215035	109165	-	-	Tube1	NR3C1	2310061K05Rik|AI551343|Tube	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	10090	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q9D6T1	-	NP_082282	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Mus musculus	Homo sapiens
1506016	1956	2908	108276	109165	-	-	EGFR	NR3C1	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	GCCR|GCR|GCRST|GR|GRL	PCA	physical	Petschnigg J (2014)	PUBMED:24658140	9606	9606	High Throughput	-	-	Mammalian-membrane two-hybrid assay (MaMTH)|Split ubiquitin-based method	-	BIOGRID	P00533	-	NP_001333829|NP_001333828|NP_958440|NP_005219|NP_001333827|NP_001333826|NP_958441|NP_001333870|NP_958439	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1506103	1956	2908	108276	109165	-	-	EGFR	NR3C1	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-Luminescence	physical	Petschnigg J (2014)	PUBMED:24658140	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P00533	-	NP_001333829|NP_001333828|NP_958440|NP_005219|NP_001333827|NP_001333826|NP_958441|NP_001333870|NP_958439	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1506623	8463	2908	114041	109165	-	-	TEAD2	NR3C1	ETF|TEAD-2|TEF-4|TEF4	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-MS	physical	Li X (2015)	PUBMED:25609649	9606	9606	High Throughput	-	-	High-confidence interactions	-	BIOGRID	Q15562	A0A024QZE2	NP_001243588|NP_001243589|NP_001243591|NP_001243590|NP_001243587|NP_003589	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1507633	55810	2908	120920	109165	-	-	FOXJ2	NR3C1	FHX	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-MS	physical	Li X (2015)	PUBMED:25609649	9606	9606	High Throughput	-	-	High-confidence interactions	-	BIOGRID	Q9P0K8	-	NP_060886	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1509155	2300	2908	108589	109165	-	-	FOXL1	NR3C1	FKH6|FKHL11|FREAC7	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-MS	physical	Li X (2015)	PUBMED:25609649	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q12952	Q498Y4	NP_005241	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1513516	29947	2908	118984	109165	-	-	DNMT3L	NR3C1	-	GCCR|GCR|GCRST|GR|GRL	Reconstituted Complex	physical	Pacaud R (2014)	PUBMED:24952347	9606	9606	Low Throughput	-	-	Panomics TranSignal TF Protein Arrays|Table 1	-	BIOGRID	Q9UJW3	-	NP_787063|NP_037501	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1526367	1385	2908	107775	109165	-	-	CREB1	NR3C1	CREB	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-Western	physical	Guo C (2010)	PUBMED:20203101	9606	9606	Low Throughput	-	-	Figure 8	-	BIOGRID	P16220	Q5U0J5|Q53X93	NP_004370|NP_001358356|NP_001358357|NP_001358355|NP_604391|NP_001307722	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1526757	2908	4306	109165	110451	-	-	NR3C1	NR3C2	GCCR|GCR|GCRST|GR|GRL	MCR|MLR|MR|NR3C2VIT	Affinity Capture-Western	physical	Moraes LA (2005)	PUBMED:16131566	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	P08235	B0ZBF6	NP_000892|NP_001159576	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1526758	3308	2908	109540	109165	-	-	HSPA4	NR3C1	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-Western	physical	Moraes LA (2005)	PUBMED:16131566	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P34932	-	NP_002145	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1526759	3320	2908	109552	109165	-	-	HSP90AA1	NR3C1	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-Western	physical	Moraes LA (2005)	PUBMED:16131566	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
