Protein ID,Gene,Description,Combined Total Peptides,Protein Probability,Top Peptide Probability,GR_vs_IgG_log2 fold change,GR_vs_IgG_p.val,GR_vs_IgG_p.adj,significant,GR_1 Intensity,GR_2 Intensity,GR_3 Intensity,IgG_1 Intensity,IgG_2 Intensity,IgG_3 Intensity
P49736,MCM2,DNA replication licensing factor MCM2,3,1.00E+00,9.94E-01,2.42,6.22E-02,8.35E-02,FALSE,0.00E+00,2.62E+05,1.69E+05,0.00E+00,0.00E+00,0.00E+00
P68371,TUBB4B,Tubulin beta-4B chain,11,1.00E+00,9.96E-01,3.09,6.32E-02,8.35E-02,FALSE,0.00E+00,7.44E+05,2.40E+05,0.00E+00,0.00E+00,0.00E+00
P40763,STAT3,Signal transducer and activator of transcription 3,2,1.00E+00,9.94E-01,2.2,6.37E-02,8.35E-02,FALSE,0.00E+00,1.91E+05,1.48E+05,0.00E+00,0.00E+00,0.00E+00
P05198,EIF2S1,Eukaryotic translation initiation factor 2 subunit 1,2,1.00E+00,9.98E-01,2.39,6.42E-02,8.35E-02,FALSE,0.00E+00,2.76E+05,1.52E+05,0.00E+00,0.00E+00,0.00E+00
P46782,RPS5,40S ribosomal protein S5,2,1.00E+00,9.97E-01,2.56,6.43E-02,8.35E-02,FALSE,0.00E+00,1.64E+05,3.57E+05,0.00E+00,0.00E+00,0.00E+00
P04908,H2AC4,Histone H2A type 1-B/E,4,1.00E+00,9.99E-01,5.03,6.44E-02,8.35E-02,FALSE,1.87E+07,3.00E+07,2.29E+07,5.47E+06,4.01E+06,0.00E+00
P15531,NME1,Nucleoside diphosphate kinase A,2,1.00E+00,9.99E-01,3.01,6.76E-02,8.65E-02,FALSE,0.00E+00,7.64E+05,1.97E+05,0.00E+00,0.00E+00,0.00E+00
P35908,KRT2,"Keratin, type II cytoskeletal 2 epidermal",21,1.00E+00,9.99E-01,2.7,6.77E-02,8.65E-02,FALSE,6.92E+06,3.61E+07,5.39E+06,6.36E+06,1.86E+06,4.12E+05
Q15233,NONO,Non-POU domain-containing octamer-binding protein,3,1.00E+00,9.97E-01,2.97,6.89E-02,8.73E-02,FALSE,0.00E+00,7.53E+05,1.86E+05,0.00E+00,0.00E+00,0.00E+00
Q07955,SRSF1,Serine/arginine-rich splicing factor 1,2,1.00E+00,9.94E-01,2.12,7.22E-02,9.09E-02,FALSE,1.04E+05,2.27E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
O43303,CCP110,Centriolar coiled-coil protein of 110 kDa,2,1.00E+00,9.97E-01,2.09,7.43E-02,9.23E-02,FALSE,2.28E+05,0.00E+00,9.73E+04,0.00E+00,0.00E+00,0.00E+00
P24534,EEF1B2,Elongation factor 1-beta,3,1.00E+00,9.99E-01,2.02,7.43E-02,9.23E-02,FALSE,0.00E+00,2.06E+05,9.46E+04,0.00E+00,0.00E+00,0.00E+00
P25205,MCM3,DNA replication licensing factor MCM3,2,1.00E+00,9.97E-01,1.92,8.25E-02,1.01E-01,FALSE,0.00E+00,2.03E+05,7.72E+04,0.00E+00,0.00E+00,0.00E+00
P46087,NOP2,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,2,1.00E+00,9.98E-01,1.45,8.28E-02,1.01E-01,FALSE,0.00E+00,7.61E+04,7.79E+04,0.00E+00,0.00E+00,0.00E+00
P38646,HSPA9,"Stress-70 protein, mitochondrial",3,1.00E+00,9.96E-01,2.19,9.32E-02,1.13E-01,FALSE,3.64E+05,7.54E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P62750,RPL23A,60S ribosomal protein L23a,4,1.00E+00,9.99E-01,1.36,9.50E-02,1.15E-01,FALSE,1.16E+06,1.60E+06,7.79E+05,6.82E+05,6.91E+05,1.80E+05
P49327,FASN,Fatty acid synthase,3,1.00E+00,9.90E-01,2.07,9.91E-02,1.19E-01,FALSE,0.00E+00,3.25E+05,6.64E+04,0.00E+00,0.00E+00,0.00E+00
P02538,KRT6A,"Keratin, type II cytoskeletal 6A",11,1.00E+00,9.95E-01,2.77,1.01E-01,1.20E-01,FALSE,0.00E+00,9.99E+05,9.09E+04,0.00E+00,0.00E+00,0.00E+00
O43290,SART1,U4/U6.U5 tri-snRNP-associated protein 1,2,1.00E+00,9.98E-01,1.18,1.04E-01,1.23E-01,FALSE,0.00E+00,5.04E+04,6.72E+04,0.00E+00,0.00E+00,0.00E+00
P05783,KRT18,"Keratin, type I cytoskeletal 18",7,1.00E+00,9.99E-01,3.24,1.13E-01,1.33E-01,FALSE,1.99E+06,7.00E+05,9.60E+04,0.00E+00,5.54E+05,0.00E+00
P05388,RPLP0,60S acidic ribosomal protein P0,3,1.00E+00,9.91E-01,2.25,1.15E-01,1.34E-01,FALSE,0.00E+00,5.15E+05,6.01E+04,0.00E+00,0.00E+00,0.00E+00
P62269,RPS18,40S ribosomal protein S18,4,1.00E+00,9.92E-01,2.85,1.15E-01,1.34E-01,FALSE,0.00E+00,1.22E+06,2.40E+05,0.00E+00,4.59E+04,0.00E+00
P02533,KRT14,"Keratin, type I cytoskeletal 14",9,1.00E+00,9.99E-01,2.9,1.18E-01,1.35E-01,FALSE,8.57E+05,1.62E+06,1.51E+06,1.56E+06,0.00E+00,1.92E+05
P29692,EEF1D,Elongation factor 1-delta,2,1.00E+00,9.99E-01,2.39,1.18E-01,1.35E-01,FALSE,0.00E+00,6.73E+05,6.18E+04,0.00E+00,0.00E+00,0.00E+00
Q96PK6,RBM14,RNA-binding protein 14,3,1.00E+00,9.93E-01,1.66,1.19E-01,1.36E-01,FALSE,0.00E+00,1.97E+05,4.59E+04,0.00E+00,0.00E+00,0.00E+00
Q00610,CLTC,Clathrin heavy chain 1,4,1.00E+00,9.98E-01,1.88,1.30E-01,1.47E-01,FALSE,0.00E+00,3.21E+05,4.53E+04,0.00E+00,0.00E+00,0.00E+00
P21333,FLNA,Filamin-A,8,1.00E+00,9.98E-01,2.43,1.37E-01,1.54E-01,FALSE,0.00E+00,8.76E+05,5.21E+04,0.00E+00,0.00E+00,0.00E+00
O14950,MYL12B,Myosin regulatory light chain 12B,3,1.00E+00,9.97E-01,2.15,1.57E-01,1.75E-01,FALSE,0.00E+00,6.32E+05,3.96E+04,0.00E+00,0.00E+00,0.00E+00
P07355,ANXA2,Annexin A2,2,1.00E+00,9.96E-01,1.97,1.69E-01,1.86E-01,FALSE,2.21E+05,3.14E+05,0.00E+00,0.00E+00,6.83E+04,0.00E+00
P62861,FAU,40S ribosomal protein S30,4,1.00E+00,9.98E-01,1.03,1.69E-01,1.86E-01,FALSE,4.37E+07,3.67E+07,4.08E+07,3.14E+07,3.10E+07,7.92E+06
P35527,KRT9,"Keratin, type I cytoskeletal 9",22,1.00E+00,9.99E-01,1.17,2.01E-01,2.20E-01,FALSE,3.14E+07,6.98E+06,2.95E+07,1.75E+07,5.93E+06,5.44E+06
P48643,CCT5,T-complex protein 1 subunit epsilon,3,1.00E+00,9.99E-01,1.83,2.76E-01,2.96E-01,FALSE,0.00E+00,7.71E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P05787,KRT8,"Keratin, type II cytoskeletal 8",7,1.00E+00,9.94E-01,1.74,2.78E-01,2.96E-01,FALSE,0.00E+00,6.36E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P68366,TUBA4A,Tubulin alpha-4A chain,12,1.00E+00,9.98E-01,1.62,2.80E-01,2.96E-01,FALSE,0.00E+00,4.92E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P13796,LCP1,Plastin-2,3,1.00E+00,9.91E-01,1.59,2.81E-01,2.96E-01,FALSE,0.00E+00,4.61E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P09972,ALDOC,Fructose-bisphosphate aldolase C,2,9.99E-01,9.98E-01,1.49,2.83E-01,2.96E-01,FALSE,0.00E+00,3.78E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q04695,KRT17,"Keratin, type I cytoskeletal 17",7,1.00E+00,9.96E-01,1.5,2.83E-01,2.96E-01,FALSE,3.87E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P67936,TPM4,Tropomyosin alpha-4 chain,3,1.00E+00,9.92E-01,1.46,2.84E-01,2.96E-01,FALSE,0.00E+00,3.54E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q07666,KHDRBS1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",2,1.00E+00,9.93E-01,1.45,2.84E-01,2.96E-01,FALSE,0.00E+00,3.46E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P78371,CCT2,T-complex protein 1 subunit beta,2,1.00E+00,9.93E-01,1.23,2.92E-01,3.03E-01,FALSE,0.00E+00,2.18E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P0DMV8,HSPA1A,Heat shock 70 kDa protein 1A,4,1.00E+00,9.99E-01,2.2,3.02E-01,3.11E-01,FALSE,2.35E+06,1.32E+05,0.00E+00,0.00E+00,1.88E+05,0.00E+00
P59998,ARPC4,Actin-related protein 2/3 complex subunit 4,2,1.00E+00,9.92E-01,0.997,3.06E-01,3.13E-01,FALSE,0.00E+00,1.35E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P02768,ALB,Albumin,4,9.99E-01,9.92E-01,0.881,3.17E-01,3.23E-01,FALSE,0.00E+00,0.00E+00,1.06E+05,0.00E+00,0.00E+00,0.00E+00
P63104,YWHAZ,14-3-3 protein zeta/delta,3,1.00E+00,9.99E-01,0.782,3.30E-01,3.34E-01,FALSE,0.00E+00,8.63E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P08727,KRT19,"Keratin, type I cytoskeletal 19",7,1.00E+00,9.97E-01,0.586,3.72E-01,3.74E-01,FALSE,0.00E+00,5.75E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P21796,VDAC1,Voltage-dependent anion-selective channel protein 1,3,1.00E+00,9.99E-01,0.184,6.69E-01,6.69E-01,FALSE,0.00E+00,2.49E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00
